animal_id,name,datetime,found_location,type,intake_condition,sex,age,breed,color_primary,color_secondary,num_stays,avg_stay_len
A688118,Audrey,2014-09-14 17:12:00,23Rd And Neches in Austin (TX),Stray,Normal,Intact Female,1 month,Chihuahua Shorthair Mix,Tan,,1,32.0
A688119,*Rosie,2014-09-14 17:50:00,Rundberg/Lamar in Austin (TX),Stray,Normal,Intact Female,1 month,Chihuahua Shorthair Mix,Brown,Black,1,34.0
A688124,*Gracie,2014-09-15 11:03:00,Manor (TX),Public Assist,Injured,Intact Female,5 months,Miniature Pinscher Mix,Black,Brown,1,52.0
A688126,Katie,2014-09-15 10:42:00,Austin (TX),Owner Surrender,Normal,Intact Female,1 year,Australian Kelpie Mix,Tricolor,,1,7.0
A688129,Brewster,2014-09-15 11:16:00,2305 Park Lane in Travis (TX),Stray,Normal,Intact Male,1 year,Collie Smooth Mix,Brown,White,1,34.0
A688136,*Jellybean,2014-09-15 11:51:00,James Vincent/Peaby Drive in Austin (TX),Stray,Normal,Intact Female,3 years,Pit Bull Mix,White,Brown,1,82.0
A688139,*Jack,2014-09-15 11:51:00,James Vincent/Peaby Drive in Austin (TX),Stray,Normal,Intact Male,2 years,Catahoula Mix,Black,Tricolor,1,8.0
A688144,Tarzan,2014-09-15 12:42:00,Zilker Park in Austin (TX),Stray,Normal,Intact Male,1 year,Labrador Retriever Mix,Black,White,1,16.0
A688146,*John Boy,2014-09-15 11:51:00,James Vincent/Peaby Drive in Austin (TX),Stray,Normal,Intact Male,2 years,Catahoula Mix,White,Brown,1,85.0
A688149,N/A,2014-09-15 13:05:00,13900 Long Hollow Loop in Travis (TX),Stray,Normal,Intact Male,2 months,Australian Cattle Dog Mix,Tan,White,1,4.0
A688150,Bo,2014-09-15 13:05:00,13900 Long Hollow Loop in Travis (TX),Stray,Normal,Intact Male,2 months,Australian Cattle Dog Mix,Black,Tricolor,1,4.0
A688151,Thor,2014-09-15 13:17:00,Bitter Hollow in Austin (TX),Stray,Normal,Neutered Male,4 years,German Shepherd,Black,Brown,1,9.0
A688154,Honey,2014-09-15 12:58:00,Austin (TX),Owner Surrender,Normal,Intact Female,3 years,Staffordshire Mix,Brown,,2,43.0
A688161,Bup,2014-09-15 13:54:00,1201 Peyton Gin Rd. in Austin (TX),Stray,Normal,Neutered Male,9 months,Pit Bull Mix,Blue,White,1,8.0
A688168,*Fox,2014-09-15 16:19:00,7601 Dixie in Austin (TX),Stray,Normal,Intact Male,2 years,Chihuahua Shorthair Mix,Yellow,,1,6.0
A688191,Henry,2014-09-16 10:48:00,4400 Franklin Park in Austin (TX),Stray,Normal,Neutered Male,1 year,Flat Coat Retriever Mix,Black,,1,4.0
A688198,*Deacon,2014-09-16 11:22:00,903 W Meadowmere Ln in Austin (TX),Stray,Normal,Intact Male,2 years,Labrador Retriever Mix,Black,,2,24.0
A688205,*Toto,2014-09-16 12:17:00,Stassney And Dove Dr in Austin (TX),Stray,Normal,Intact Female,1 year,Havanese Mix,White,Tan,1,4.0
A688211,*Pee Wee,2014-09-16 13:22:00,Rundberg And Parkfield in Austin (TX),Stray,Injured,Intact Male,3 years,Chihuahua Shorthair Mix,Red,,1,48.0
A688218,N/A,2014-09-16 14:09:00,Lamar Square in Austin (TX),Stray,Normal,Spayed Female,5 years,Australian Cattle Dog Mix,Black,Blue,1,3.0
A688219,Titus,2014-09-16 13:52:00,Leander (TX),Owner Surrender,Normal,Intact Male,2 months,Labrador Retriever Mix,Black,Brown,1,4.0
A688220,N/A,2014-09-16 13:52:00,Leander (TX),Owner Surrender,Normal,Intact Male,2 months,Labrador Retriever Mix,Black,Brown,1,3.0
A688221,N/A,2014-09-16 13:52:00,Leander (TX),Owner Surrender,Normal,Intact Female,2 months,Collie Smooth Mix,Black,White,1,4.0
A688222,Kassidy,2014-09-16 13:52:00,Leander (TX),Owner Surrender,Normal,Intact Female,2 months,Border Collie Mix,Black,White,1,5.0
A688223,N/A,2014-09-16 13:52:00,Leander (TX),Owner Surrender,Normal,Intact Female,2 months,Labrador Retriever Mix,Black,White,1,5.0
A688224,N/A,2014-09-16 13:52:00,Leander (TX),Owner Surrender,Normal,Intact Female,2 months,Labrador Retriever Mix,Black,White,1,5.0
