animal_id,name,datetime,found_location,type,intake_condition,sex,age,breed,color_primary,color_secondary,num_stays,avg_stay_len
A200922,Carlos,2013-10-03 15:47:00,Austin (TX),Owner Surrender,Normal,Neutered Male,16 years,Dachshund Mix,Black,Tan,1,49.0
A210457,Caleb,2016-09-28 12:05:00,4424 S Mopac #412 in Austin (TX),Public Assist,Aged,Neutered Male,17 years,Chihuahua Shorthair,Tan,Black,1,9.0
A226069,Cedar,2015-10-06 12:29:00,Wheless Ln And Berkman Dr in Austin (TX),Stray,Normal,Neutered Male,15 years,Labrador Retriever Mix,Tricolor,White,1,23.0
A249087,*Polly,2016-08-17 14:05:00,E 6Th St And Pedernales in Austin (TX),Stray,Normal,Spayed Female,15 years,German Shepherd Mix,Black,Brown,1,89.0
A274546,Sophie,2013-11-13 18:16:00,Manchaca And Slaughter in Austin (TX),Stray,Normal,Spayed Female,11 years,Pointer Mix,Tricolor,,1,2.0
A281542,George,2013-12-23 13:23:00,Austin (TX),Owner Surrender,Normal,Neutered Male,12 years,Labrador Retriever Mix,Black,Brown,1,146.0
A302820,*Ladybug,2014-02-27 14:17:00,Austin (TX),Owner Surrender,Normal,Spayed Female,10 years,German Shepherd Mix,Brown,,1,147.0
A338231,Boots,2015-05-18 14:14:00,Bullard/Northland in Austin (TX),Stray,Normal,Neutered Male,13 years,Border Collie Mix,Black,White,1,27.0
A338643,Herbie,2016-12-16 09:50:00,Austin (TX),Owner Surrender,Normal,Neutered Male,12 years,Labrador Retriever Mix,Black,White,1,90.0
A338821,Ginger,2015-02-19 17:19:00,Austin (TX),Owner Surrender,Normal,Spayed Female,11 years,German Shepherd Mix,Brown,Black,1,26.0
A339803,Buzz,2013-11-08 15:15:00,Travis (TX),Owner Surrender,Normal,Neutered Male,9 years,Labrador Retriever Mix,Tan,,1,58.0
A342659,Flynt,2017-08-04 12:29:00,Austin (TX),Owner Surrender,Normal,Neutered Male,13 years,Catahoula Mix,Black,Brown,1,38.0
A346010,Mattie,2016-08-11 17:48:00,200 W Carrie Manor in Manor (TX),Public Assist,Normal,Spayed Female,9 years,Chihuahua Shorthair Mix,Black,White,1,6.0
A348272,Brandy,2015-07-19 10:21:00,38Th in Austin (TX),Stray,Normal,Spayed Female,11 years,Labrador Retriever Mix,Brown,Black,1,5.0
A349317,Astro,2017-08-15 11:01:00,Austin (TX),Owner Surrender,Normal,Neutered Male,13 years,Labrador Retriever Mix,Black,,1,2.0
A355688,Shadow,2014-01-26 13:48:00,Austin (TX),Owner Surrender,Normal,Neutered Male,9 years,Australian Shepherd Mix,Blue,,1,28.0
A355753,Elijah,2015-09-10 13:14:00,Austin (TX),Owner Surrender,Normal,Neutered Male,11 years,Beagle Mix,Tricolor,,1,9.0
A362707,Girly Girl,2016-01-27 12:27:00,7207 A Tumble Weed Dr in Austin (TX),Owner Surrender,Sick,Spayed Female,11 years,Labrador Retriever Mix,Black,,1,348.0
A367438,Cookie,2015-09-10 16:01:00,Austin (TX),Owner Surrender,Normal,Spayed Female,16 years,Chihuahua Shorthair Mix,Brown,White,1,1.0
A367747,Woody,2014-10-19 14:49:00,5705 Thunderbird in Lago Vista (TX),Stray,Normal,Neutered Male,10 years,German Shepherd Mix,Black,Tan,1,15.0
A373687,Rosie,2014-03-20 12:31:00,Austin (TX),Owner Surrender,Normal,Spayed Female,9 years,Labrador Retriever Mix,Red,Black,1,19.0
A378348,Frijolito,2013-12-12 11:07:00,Austin (TX),Owner Surrender,Normal,Intact Male,9 years,German Shepherd Mix,Black,Brown,2,62.5
A378946,Mercedes,2017-09-28 13:36:00,Austin (TX),Owner Surrender,Normal,Spayed Female,15 years,Labrador Retriever Mix,Black,,1,16.0
A380420,Laika,2017-08-04 16:45:00,Austin (TX),Stray,Normal,Spayed Female,12 years,Labrador Retriever Mix,Black,White,1,201.0
A390222,Holly,2013-12-04 18:24:00,Austin (TX),Owner Surrender,Normal,Spayed Female,9 years,Jack Russell Terrier,White,Tan,2,5.0
A396810,Raven,2016-08-22 16:13:00,5801 Ainez Dr in Austin (TX),Stray,Injured,Spayed Female,13 years,Field Spaniel Mix,Black,,1,122.0
A400498,Reggie,2016-10-04 20:31:00,Austin (TX),Public Assist,Normal,Neutered Male,13 years,Chihuahua Shorthair Mix,White,Brown,1,10.0
A400680,Lucy,2017-06-17 13:29:00,Austin (TX),Owner Surrender,Normal,Spayed Female,12 years,Australian Cattle Dog Mix,White,Brown,1,107.0
A412626,*Sam,2016-03-13 11:17:00,8520 New Hampshire Blvd in Austin (TX),Owner Surrender,Normal,Neutered Male,12 years,Labrador Retriever Mix,Black,White,1,15.0
A414620,Shepherd,2017-10-22 13:30:00,Pflugerville (TX),Owner Surrender,Normal,Neutered Male,13 years,Border Collie Mix,White,Gray,1,6.0
A417737,Trixie,2018-03-04 15:53:00,6910 Drexel Drive in Austin (TX),Stray,Normal,Spayed Female,13 years,Chihuahua Longhair Mix,Tan,White,1,349.0
A428783,Bella,2014-01-31 16:25:00,11615 Pearwood Pl in Austin (TX),Public Assist,Normal,Spayed Female,8 years,Australian Cattle Dog,Blue,Brown,1,13.0
A430368,Arenal,2014-01-21 09:22:00,2319 E Stassney in Austin (TX),Stray,Normal,Neutered Male,7 years,Labrador Retriever Mix,Black,White,1,31.0
A431615,Catera,2014-05-13 14:00:00,Austin (TX),Owner Surrender,Normal,Spayed Female,8 years,Pit Bull Mix,Brown,,1,79.0
A438287,Lila,2018-01-02 13:27:00,Austin (TX),Owner Surrender,Normal,Spayed Female,13 years,Chihuahua Shorthair Mix,Tan,,2,3.0
A441798,Cooper,2014-06-26 12:33:00,Slaughter/ Manchaca in Austin (TX),Stray,Normal,Neutered Male,8 years,German Shepherd Mix,Black,Tan,1,130.0
A442798,Boe,2015-04-10 16:59:00,11160 Jollyville Rd #1008 in Austin (TX),Public Assist,Normal,Spayed Female,9 years,Rat Terrier Mix,White,Tricolor,1,18.0
A443085,Shadow,2014-03-19 10:33:00,S. Congress & Industrial in Austin (TX),Stray,Normal,Intact Male,7 years,Labrador Retriever Mix,Black,,1,124.0
A443790,Kj,2014-09-03 17:00:00,1009 W Dittmar Rd in Austin (TX),Stray,Normal,Neutered Male,9 years,Collie Smooth Mix,Black,Brown,1,10.0
A445694,Vegas,2013-10-09 15:25:00,Austin (TX),Stray,Normal,Spayed Female,9 years,Boxer Mix,White,Brown,1,16.0
A447033,Destin,2015-01-20 14:08:00,Austin (TX),Owner Surrender,Normal,Spayed Female,8 years,German Shepherd Mix,Black,Tan,1,25.0
A448267,Gus,2014-05-16 17:04:00,510 El Paso St in Austin (TX),Stray,Normal,Neutered Male,11 years,Pit Bull Mix,Brown,White,1,54.0
A452508,Oso,2016-01-12 17:34:00,8000 Brown Cemetary Rd in Travis (TX),Stray,Normal,Neutered Male,10 years,Rottweiler,Black,Brown,1,261.0
A453102,Georgia,2016-11-17 12:51:00,Springdale Rd & E 51St St in Austin (TX),Stray,Normal,Spayed Female,10 years,Border Collie Mix,Tricolor,,1,15.0
A453523,Sonny,2016-08-26 18:57:00,S Pleasant Valley Rd & E Stassney Ln in Austin (TX),Stray,Normal,Neutered Male,10 years,Golden Retriever Mix,Tan,Tan,1,8.0
A455868,Booch,2014-05-27 11:10:00,Lago Vista (TX),Owner Surrender,Normal,Spayed Female,8 years,Black/Tan Hound Mix,Black,Brown,1,61.0
A456133,Sunny,2016-01-10 14:40:00,Austin (TX),Stray,Normal,Neutered Male,10 years,Catahoula Mix,Red,White,1,641.0
A457029,Buddy,2014-07-17 11:58:00,Austin (TX),Owner Surrender,Normal,Neutered Male,9 years,Basset Hound Mix,Black,Brown,1,18.0
A460458,Pablo,2016-02-12 14:43:00,1941 Gaston Place Dr #334 in Austin (TX),Owner Surrender,Normal,Neutered Male,8 years,Chihuahua Shorthair Mix,Brown,White,2,18.0
A462504,Lady Bug,2014-04-23 11:26:00,Austin (TX),Owner Surrender,Normal,Spayed Female,9 years,Pit Bull Mix,Red,White,2,50.0
A465849,Blanche D.,2016-01-02 15:21:00,Suena Dr And Vasquez St in Austin (TX),Stray,Normal,Intact Female,13 years,Chihuahua Shorthair Mix,White,Brown,1,5.0
A468026,*Junie,2013-12-20 19:55:00,Manor (TX),Stray,Normal,Spayed Female,7 years,Pit Bull Mix,Black,White,1,420.0
A471015,Frankie,2013-12-11 12:50:00,Austin (TX),Owner Surrender,Normal,Neutered Male,7 years,Chihuahua Shorthair,Black,Tan,1,3.0
A476054,*Tula,2015-05-07 14:00:00,2529 Winsted in Austin (TX),Public Assist,Normal,Spayed Female,6 years,Labrador Retriever Mix,Black,White,1,25.0
A477912,Ruby,2019-05-06 14:18:00,Fm 969 And Hunters Bend Road in Austin (TX),Stray,Normal,Spayed Female,15 years,Chihuahua Shorthair,Tan,,1,12.0
A478560,Noel,2014-03-09 16:18:00,Austin (TX),Public Assist,Normal,Spayed Female,7 years,Australian Cattle Dog Mix,Blue,Brown,2,22.0
A479137,Abby,2014-03-28 15:39:00,Austin (TX),Owner Surrender,Normal,Spayed Female,9 years,Black Mouth Cur Mix,Brown,Black,1,5.0
A482199,Narf,2019-03-23 12:32:00,East Stassney Lane in Austin (TX),Stray,Normal,Neutered Male,11 years,Australian Kelpie Mix,Brown,Brown,1,72.0
A484080,Seven,2016-08-04 18:52:00,7844 Burnet Rd in Austin (TX),Stray,Normal,Spayed Female,10 years,Labrador Retriever Mix,Tan,,1,11.0
A484851,Lucy,2016-05-17 19:10:00,Riverside Dr And Lakeshore Ave in Austin (TX),Stray,Normal,Spayed Female,10 years,Tibetan Terrier Mix,White,Black,1,8.0
A485674,Ghost,2014-12-24 14:49:00,Stassney Lane & Knuckles Crossing in Austin (TX),Stray,Normal,Neutered Male,9 years,Miniature Schnauzer,White,,1,4.0
A485940,Gloria,2015-10-08 14:15:00,Austin (TX),Owner Surrender,Normal,Spayed Female,11 years,Labrador Retriever Mix,Red,White,1,15.0
A488066,Doc,2014-06-18 15:13:00,Hwy 71 And Old Bee Caves Road in Austin (TX),Stray,Normal,Neutered Male,7 years,Border Collie Mix,Brown,White,1,11.0
A489704,Duke,2015-03-09 11:05:00,Austin (TX),Owner Surrender,Normal,Neutered Male,14 years,German Shepherd,Tricolor,,1,10.0
A489912,Jiggs,2016-02-01 15:12:00,Austin (TX),Owner Surrender,Aged,Neutered Male,10 years,Chihuahua Shorthair Mix,Tan,White,1,9.0
A492808,Gus,2014-09-14 14:27:00,Manor (TX),Owner Surrender,Normal,Neutered Male,7 years,Chinese Sharpei Mix,Brown,White,1,13.0
A493167,Midnight,2017-04-21 14:59:00,Austin (TX),Owner Surrender,Normal,Spayed Female,12 years,Chow Chow Mix,Black,,1,142.0
A493772,Buster,2013-12-23 13:23:00,Austin (TX),Owner Surrender,Normal,Neutered Male,6 years,Labrador Retriever Mix,Tan,,1,15.0
A494120,Chino,2016-04-02 15:57:00,Walton Ln And Bolm Rd in Austin (TX),Stray,Normal,Intact Male,8 years,West Highland Mix,White,,2,57.5
A495060,Lulu Belle,2016-06-14 13:58:00,Austin (TX),Owner Surrender,Normal,Spayed Female,8 years,Border Collie Mix,White,Tricolor,2,56.5
A495740,Yoda,2015-12-14 12:58:00,Austin (TX),Owner Surrender,Normal,Neutered Male,9 years,Golden Retriever Mix,Tan,White,1,5.0
A498720,Mitzi,2016-03-19 16:37:00,7244 Wardman Drive in Travis (TX),Stray,Normal,Spayed Female,9 years,Rat Terrier,Tricolor,,2,71.5
A500349,Koi,2016-07-05 14:14:00,Manor (TX),Owner Surrender,Normal,Neutered Male,9 years,Parson Russell Terrier,Tricolor,,1,3.0
A501443,Chuy,2014-08-11 13:02:00,Lakeway (TX),Owner Surrender,Normal,Spayed Female,9 years,Labrador Retriever Mix,Black,,1,37.0
A501508,Sally,2018-07-21 15:50:00,Wier Hills Road And Rialto Boulevard in Austin (TX),Stray,Normal,Spayed Female,12 years,Basset Hound Mix,Brown,White,2,189.5
A501761,Pinky,2019-05-29 11:11:00,294 Dry Creek Rd in Manor (TX),Public Assist,Normal,Spayed Female,12 years,Chihuahua Shorthair Mix,Black,White,1,75.0
A502315,Milo,2014-12-20 13:09:00,10420 Fm812 in Travis (TX),Stray,Injured,Neutered Male,8 years,Parson Russell Terrier,White,Brown,1,49.0
A502606,Molly,2017-12-23 12:29:00,Austin (TX),Owner Surrender,Normal,Spayed Female,10 years,Pit Bull Mix,Brown,White,1,221.0
A503431,Lilah,2017-03-29 09:08:00,Austin (TX),Owner Surrender,Normal,Spayed Female,10 years,Norwich Terrier Mix,Brown,Black,1,33.0
A506000,Lt,2016-05-17 13:51:00,Austin (TX),Owner Surrender,Normal,Neutered Male,9 years,Labrador Retriever Mix,White,Tan,1,126.0
A506775,Mya,2016-02-01 15:12:00,Austin (TX),Owner Surrender,Aged,Spayed Female,9 years,Boston Terrier,Black,White,1,11.0
A511051,Reba,2018-05-20 13:58:00,Austin (TX),Owner Surrender,Normal,Spayed Female,10 years,Pit Bull,Red,White,1,132.0
A512959,Grif,2014-10-26 17:17:00,Pflugerville (TX),Owner Surrender,Normal,Neutered Male,6 years,German Shepherd Mix,Brown,Black,1,6.0
A514160,Maverick,2018-05-29 12:25:00,Austin (TX),Owner Surrender,Normal,Neutered Male,10 years,Labrador Retriever Mix,Black,White,1,6.0
A515049,Saber,2015-02-07 11:08:00,Austin (TX),Owner Surrender,Normal,Neutered Male,6 years,Pit Bull Mix,Red,White,1,29.0
A515271,Mack Brown,2014-11-09 16:06:00,4021 S Capital Of Texas Hwy in Austin (TX),Stray,Normal,Neutered Male,7 years,Vizsla Mix,Brown,,1,189.0
A516259,Coco,2015-12-16 14:49:00,Austin (TX),Owner Surrender,Normal,Spayed Female,9 years,Pit Bull,Black,White,1,46.0
A516577,Joker,2015-11-17 13:08:00,2409 Mantague Dr in Austin (TX),Stray,Injured,Neutered Male,9 years,Chihuahua Shorthair Mix,Black,Tricolor,2,21.5
A516660,Marley,2013-12-20 11:01:00,5007 Mendoca Dr in Austin (TX),Stray,Normal,Spayed Female,6 years,Australian Cattle Dog Mix,White,Tan,1,12.0
A517675,Blanca,2015-08-05 15:57:00,6902 Deep Cir #A in Austin (TX),Owner Surrender,Normal,Spayed Female,11 years,Australian Cattle Dog,White,Black,3,12.333333333333334
A521990,Moyo,2016-05-12 16:46:00,E Cesar Chavez St & N Pleasant Valley Rd in Austin (TX),Stray,Normal,Spayed Female,12 years,Chihuahua Shorthair Mix,Black,White,1,15.0
A524313,Tilly,2016-07-05 11:51:00,5400 Tx-71 in Travis (TX),Stray,Normal,Spayed Female,8 years,Australian Cattle Dog Mix,White,Red,1,52.0
A524634,*Belle,2015-01-02 18:54:00,W Rundberg Ln & Georgian Dr in Austin (TX),Stray,Normal,Intact Female,8 years,Pit Bull,Blue,White,1,172.0
A525768,Bonnie,2014-02-15 12:51:00,Austin (TX),Owner Surrender,Normal,Spayed Female,6 years,Labrador Retriever Mix,Brown,White,1,7.0
A528321,Kuma,2014-04-26 17:07:00,Austin (TX),Owner Surrender,Normal,Spayed Female,5 years,Akita,White,,1,22.0
A528322,Seti,2014-04-26 17:07:00,Austin (TX),Owner Surrender,Normal,Neutered Male,6 years,Siberian Husky,Brown,White,1,7.0
A528524,Javier,2014-09-07 11:04:00,183 & Manor Road in Austin (TX),Stray,Normal,Neutered Male,6 years,Beagle Mix,Red,White,1,4.0
A529318,Chato,2015-08-16 14:00:00,Lamar Blvd And 183 in Austin (TX),Stray,Normal,Neutered Male,12 years,Labrador Retriever Mix,Brown,Black,1,26.0
A530547,Tex,2017-06-23 16:47:00,Shively Ln And Guerrero Ln in Austin (TX),Stray,Normal,Neutered Male,8 years,Australian Shepherd Mix,Tan,Black,1,111.0
A531317,Shadow,2017-09-08 14:56:00,Austin (TX),Owner Surrender,Normal,Neutered Male,10 years,Pit Bull Mix,Black,White,2,124.5
A531378,Cirilo,2019-07-10 07:17:00,Pioneer Crossing in Austin (TX),Stray,Sick,Neutered Male,11 years,Great Dane Mix,Black,White,1,181.0
A531394,Baxter,2015-04-21 16:59:00,N Lamar Blvd & W Rundberg Ln in Austin (TX),Stray,Normal,Neutered Male,11 years,Dachshund Stan Mix,Black,Tan,1,11.0
A531398,Red,2014-05-04 17:04:00,Greyledge And Hermitage in Austin (TX),Stray,Normal,Neutered Male,9 years,Chihuahua Shorthair Mix,Brown,White,1,28.0
A532017,Kiki,2014-01-04 17:05:00,Austin (TX),Owner Surrender,Normal,Spayed Female,7 years,Chihuahua Shorthair Mix,White,Tan,1,1.0
A532351,Bridget,2014-02-20 22:31:00,7020 Grand Canyon Dr in Austin (TX),Stray,Normal,Spayed Female,5 years,Toy Poodle,Gray,Black,1,3.0
A532406,Zoey,2014-09-18 12:28:00,8028 Gessner in Austin (TX),Stray,Normal,Spayed Female,6 years,Toy Poodle,Black,,1,4.0
A532694,Coco,2015-10-16 14:04:00,7301 Metro Center in Austin (TX),Stray,Normal,Neutered Male,8 years,Chihuahua Shorthair Mix,Tan,White,1,15.0
A532762,Seymore,2017-01-02 17:01:00,5530 Killingsworth in Travis (TX),Stray,Normal,Neutered Male,10 years,Australian Cattle Dog Mix,White,Black,1,7.0
A533106,Cookie,2014-07-02 17:29:00,Dessau & Shropshire in Austin (TX),Stray,Normal,Intact Male,7 years,Podengo Pequeno Mix,Black,White,1,73.0
A533243,Choco,2016-12-20 16:50:00,Vargas Rd And Santos St in Austin (TX),Stray,Normal,Neutered Male,8 years,Labrador Retriever Mix,Brown,,1,354.0
A533602,Daisy,2014-10-08 12:54:00,S 5Th St & W Johanna St in Austin (TX),Stray,Normal,Spayed Female,7 years,Labrador Retriever Mix,Tan,,1,10.0
A534208,Cocoa,2017-08-08 11:26:00,Austin (TX),Owner Surrender,Normal,Spayed Female,11 years,Staffordshire Mix,Brown,White,1,21.0
A534548,Chloe,2014-04-29 18:30:00,Crystalbrook Dr And Boulder Creek in Austin (TX),Stray,Normal,Spayed Female,6 years,Parson Russell Terrier Mix,White,Black,1,9.0
A534780,Oliver,2013-11-09 18:24:00,Frontier in Austin (TX),Stray,Normal,Neutered Male,6 years,Parson Russell Terrier Mix,White,Tricolor,3,27.333333333333332
A535012,Negro,2014-08-29 16:43:00,Austin (TX),Public Assist,Normal,Neutered Male,7 years,Chow Chow Mix,Black,,1,6.0
A535124,Bruno,2014-05-21 17:37:00,Copperbend in Austin (TX),Stray,Normal,Neutered Male,5 years,Dutch Shepherd Mix,Brown,,1,12.0
A535292,Bandit,2016-10-05 14:50:00,8220 W Sh 71 in Austin (TX),Owner Surrender,Injured,Neutered Male,9 years,Pointer Mix,White,Brown,1,61.0
A535405,Charlie,2019-06-14 14:47:00,Austin (TX),Owner Surrender,Normal,Neutered Male,11 years,Labrador Retriever Mix,Black,,1,5.0
A535484,Krunch,2014-09-21 18:13:00,201 E. Parsons in Manor (TX),Stray,Normal,Neutered Male,5 years,Pit Bull Mix,White,Brown,1,77.0
A535768,Tootles,2017-11-28 12:02:00,Austin (TX),Owner Surrender,Normal,Spayed Female,11 years,Australian Shepherd,Blue,,1,2.0
A536404,Chulita,2016-04-04 11:39:00,Austin (TX),Owner Surrender,Normal,Spayed Female,8 years,Chihuahua Shorthair Mix,Tan,White,1,13.0
A536506,Bea,2014-04-22 11:01:00,Pflugerville (TX),Owner Surrender,Normal,Spayed Female,7 years,Yorkshire Terrier Mix,Black,Tan,1,4.0
A538342,*Pumpkin,2015-10-31 11:31:00,15365 Jacobson Road in Travis (TX),Stray,Injured,Intact Female,8 years,Chihuahua Shorthair Mix,Red,,1,27.0
A542046,Baby,2019-05-08 12:44:00,Austin (TX),Owner Surrender,Normal,Spayed Female,14 years,Chihuahua Shorthair Mix,Brown,Tan,1,121.0
A543073,Tiny Tinker,2015-04-28 10:54:00,Austin (TX),Owner Surrender,Normal,Spayed Female,9 years,Chihuahua Shorthair,Brown,,1,11.0
A543232,Princess,2017-05-23 10:20:00,2703 Crownover St in Austin (TX),Stray,Normal,Spayed Female,8 years,Beagle Mix,Tan,White,1,185.0
A543374,Carly,2016-06-30 11:29:00,12216 Buzz Schneider Ln in Austin (TX),Stray,Normal,Spayed Female,7 years,Labrador Retriever Mix,Black,White,1,18.0
A544464,Penny,2016-05-15 12:22:00,Slaughter Ln And Manchaca Rd in Austin (TX),Stray,Normal,Spayed Female,8 years,Chihuahua Shorthair Mix,Tan,White,1,1.0
A544595,Maevey,2018-03-19 16:02:00,Austin (TX),Owner Surrender,Normal,Spayed Female,10 years,Australian Cattle Dog Mix,White,Tan,1,12.0
A544775,*Pearl,2016-03-14 10:03:00,15101 Nordyke Ln in Austin (TX),Stray,Normal,Spayed Female,10 years,Pit Bull Mix,Blue,White,1,120.0
A544831,Ladybird,2015-05-08 16:45:00,Outside Jurisdiction,Owner Surrender,Normal,Spayed Female,6 years,Border Collie Mix,Black,White,1,16.0
A545644,Lucky,2014-06-12 16:17:00,1705 Melissa Oaks Ln in Austin (TX),Owner Surrender,Normal,Neutered Male,7 years,Miniature Pinscher,Brown,Tan,1,6.0
A545772,Kibbeh,2014-11-20 12:10:00,Austin (TX),Owner Surrender,Normal,Neutered Male,7 years,Plott Hound Mix,Brown,,1,25.0
A546081,Brayson,2014-02-15 14:48:00,Lakeway (TX),Owner Surrender,Normal,Neutered Male,5 years,Miniature Poodle,White,,1,8.0
A546730,Zyere,2015-05-23 13:07:00,12345 Dessau in Austin (TX),Public Assist,Normal,Intact Female,7 years,Boxer Mix,Red,White,1,280.0
A547015,Peanut,2014-09-30 16:45:00,5200 Block Of Woodland Oaks Ct in Austin (TX),Stray,Normal,Intact Male,6 years,Pekingese,Tan,,1,8.0
A547088,Chulo,2015-06-15 14:42:00,Austin (TX),Owner Surrender,Normal,Neutered Male,6 years,Labrador Retriever Mix,Brown,,1,5.0
A548911,Kyoko,2014-10-26 10:13:00,Austin (TX),Owner Surrender,Normal,Neutered Male,7 years,Chihuahua Shorthair Mix,Red,,1,37.0
A548990,Luna,2013-12-19 16:58:00,Lakeway (TX),Owner Surrender,Normal,Spayed Female,4 years,Border Collie Mix,White,White,1,15.0
A549167,Manda,2013-10-05 13:56:00,Williamson (TX),Owner Surrender,Normal,Spayed Female,5 years,Great Pyrenees Mix,White,Black,2,14.5
A549282,Emmitt,2015-11-07 15:31:00,8501 Dittmar Oaks in Austin (TX),Stray,Normal,Neutered Male,6 years,Pit Bull,Brown,White,3,127.33333333333333
A549562,Wolfie,2017-01-26 09:08:00,Manor (TX),Owner Surrender,Normal,Neutered Male,10 years,German Shepherd Mix,Brown,Black,1,270.0
A549834,Danny,2015-01-04 12:48:00,Austin (TX),Owner Surrender,Normal,Intact Male,5 years,Chihuahua Shorthair Mix,White,Brown,1,2.0
A550870,Melanie,2014-04-23 16:30:00,909 Kavanagh in Austin (TX),Stray,Normal,Spayed Female,7 years,Vizsla Mix,Brown,,1,12.0
A551111,Poopie,2016-07-04 14:53:00,5808 Mckinney Falls Parkway in Austin (TX),Stray,Normal,Spayed Female,8 years,Australian Cattle Dog Mix,Brown,Tan,1,1.0
A551384,Maury,2014-10-07 17:08:00,2009 West Loop #B in Austin (TX),Public Assist,Normal,Neutered Male,5 years,Basenji Mix,Red,White,1,90.0
A552088,Sasha,2014-09-12 18:51:00,Delano St And Hudson in Austin (TX),Stray,Normal,Spayed Female,5 years,Labrador Retriever Mix,Brown,,2,221.5
A552796,Jd,2015-04-08 16:35:00,12512 La Paz in Del Valle (TX),Stray,Normal,Neutered Male,7 years,Pit Bull Mix,Black,White,1,165.0
A552798,Phil,2015-04-08 16:35:00,12512 La Paz in Del Valle (TX),Stray,Normal,Neutered Male,7 years,Pbgv,Brown,Black,1,5.0
A553675,Anubis,2018-08-15 14:18:00,Airport Boulevard And Manor in Austin (TX),Stray,Normal,Neutered Male,15 years,Pit Bull Mix,Brown,,1,3.0
A554122,Kamio,2018-03-14 12:19:00,Hog Eye Road And Decker Lane in Austin (TX),Stray,Normal,Intact Female,14 years,Chihuahua Longhair Mix,Black,White,1,4.0
A554827,Jack,2015-09-08 15:18:00,Austin (TX),Owner Surrender,Normal,Neutered Male,8 years,Australian Cattle Dog Mix,Black,White,1,300.0
A554865,Pepe,2014-12-27 11:54:00,Perry St And Lux in Austin (TX),Stray,Normal,Neutered Male,6 years,Chihuahua Shorthair,White,,1,4.0
A555012,*Jeremiah,2014-09-17 16:57:00,18200 Carlson Rd in Travis (TX),Stray,Normal,Neutered Male,9 years,Pit Bull Mix,Red,,1,25.0
A555446,Boo,2014-06-27 13:06:00,Hargrave And Neal in Austin (TX),Stray,Injured,Neutered Male,5 years,Rat Terrier Mix,Brown,White,1,18.0
A558033,Beau,2014-02-23 15:57:00,Brackenridge & Outfitter Dr in Austin (TX),Stray,Normal,Neutered Male,8 years,Labrador Retriever Mix,Red,White,1,119.0
A559692,*Cornelius,2014-02-12 21:02:00,10505 Scotland Well Dr. in Austin (TX),Stray,Normal,Neutered Male,8 years,Rottweiler,Black,Tan,1,10.0
A559954,Ruby,2017-08-03 17:03:00,11602 Swearingen in Austin (TX),Owner Surrender,Normal,Spayed Female,8 years,Labrador Retriever Mix,Black,,1,32.0
A562114,Peanut,2015-10-29 12:18:00,Austin (TX),Owner Surrender,Normal,Spayed Female,7 years,Australian Cattle Dog Mix,Tan,,1,30.0
A562161,Buddy,2016-02-07 14:06:00,Austin (TX),Owner Surrender,Normal,Neutered Male,9 years,Border Collie,Black,White,1,2.0
A563004,Coco,2014-01-04 12:41:00,1601 E Slaughter in Austin (TX),Owner Surrender,Normal,Spayed Female,5 years,Miniature Poodle,Black,Tan,2,1.0
A563022,Pancho,2017-02-14 18:34:00,10207 Fm 812 in Travis (TX),Stray,Aged,Neutered Male,8 years,Pit Bull Mix,Tan,White,1,488.0
A563065,Lola,2017-08-06 14:56:00,Hwy 183 And Payton Gin in Austin (TX),Stray,Normal,Spayed Female,7 years,Parson Russell Terrier Mix,White,Tan,2,24.5
A563384,Annie,2018-02-24 12:13:00,Austin (TX),Owner Surrender,Normal,Spayed Female,8 years,Border Collie Mix,Tricolor,,3,29.333333333333332
A563450,Oscar,2013-10-06 21:23:00,S 5Th & W Gibson in Austin (TX),Stray,Normal,Neutered Male,11 years,Basset Hound,Tricolor,,1,6.0
A563492,*Sam,2014-10-24 14:45:00,1701 Vargas Rd in Austin (TX),Stray,Normal,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan,,1,136.0
A564146,Panchita,2017-12-05 12:36:00,Dessau And Bradford Lane in Austin (TX),Stray,Normal,Spayed Female,8 years,Pit Bull Mix,White,Brown,1,186.0
A564409,Maude,2014-06-01 15:06:00,Round Rock (TX),Owner Surrender,Normal,Spayed Female,5 years,Labrador Retriever,Brown,,1,29.0
A564660,Moki,2014-01-31 13:37:00,Austin (TX),Owner Surrender,Normal,Spayed Female,6 years,Australian Shepherd Mix,Brown,Tan,1,1.0
A565044,Bailey,2014-12-15 16:28:00,4003 Ayala in Travis (TX),Stray,Normal,Spayed Female,5 years,Boxer Mix,Brown,,1,219.0
A565123,Max,2014-08-04 18:10:00,11702 Garden Grove in Travis (TX),Public Assist,Normal,Neutered Male,4 years,Australian Kelpie Mix,Red,Black,1,133.0
A565152,Pipo,2019-08-31 15:58:00,11300 Doyle Overton Road in Travis (TX),Stray,Normal,Neutered Male,9 years,Basset Hound Mix,Tan,White,1,65.0
A565413,Coco,2018-12-21 11:08:00,7201 Levander Loop in Austin (TX),Stray,Normal,Neutered Male,9 years,Miniature Pinscher,Brown,Brown,1,6.0
A566493,Buddy,2017-03-26 23:16:00,701 E Ben White in Austin (TX),Public Assist,Normal,Neutered Male,8 years,Labrador Retriever Mix,White,Yellow,1,34.0
A566568,Duck,2018-03-21 17:00:00,14000 Graef Rd in Travis (TX),Stray,Normal,Neutered Male,9 years,Harrier Mix,Brown,Black,2,119.0
