animal_id,name,datetime,found_location,type,intake_condition,sex,age,breed,color_primary,color_secondary,num_stays,avg_stay_len
A783340,*Penny,2018-10-29 11:48:00,Austin (TX),Owner Surrender,Normal,Spayed Female,2,Chihuahua Shorthair Mix,Brown,White,1,52.12708333333333
A783351,Blue,2018-10-29 13:28:00,Brown And Lungan in Austin (TX),Stray,Normal,Intact Male,1,Catahoula Mix,Brown,White,1,49.231944444444444
A783354,Goku,2018-10-29 13:32:00,1817 E Oltorf in Austin (TX),Public Assist,Normal,Neutered Male,3,Siberian Husky Mix,Black,White,1,84.06111111111112
A783358,*Prince,2018-10-29 14:47:00,Harris Branch Boulevard And Parmer Lane in Austin (TX),Stray,Normal,Intact Male,2,German Shepherd Mix,Black,Tan,1,27.125
A783361,Luna,2018-10-29 15:11:00,Gessner Drive in Austin (TX),Stray,Normal,Intact Female,1,Chihuahua Shorthair Mix,White,Tan,1,49.893055555555556
A783362,Milk,2018-10-29 15:11:00,Gessner Drive in Austin (TX),Stray,Normal,Intact Female,1,Chihuahua Shorthair Mix,Tan,,1,8.986805555555556
A783363,Kira,2018-10-29 15:31:00,Riverside And Ih35 in Austin (TX),Stray,Normal,Intact Female,4,Siberian Husky Mix,Tan,White,1,38.05694444444445
A783370,Kelsa,2018-10-29 16:30:00,Airport Commerce Drive in Austin (TX),Stray,Normal,Intact Female,1,Chihuahua Shorthair Mix,Black,White,1,31.031944444444445
A783382,*Borf,2018-10-29 17:16:00,5109 English Glade Drive in Austin (TX),Stray,Normal,Intact Male,1,Pit Bull Mix,White,Black,1,422.61875
A783385,Fino,2018-10-29 18:11:00,North Lamar Boulevard And West Rundberg Lane in Austin (TX),Stray,Normal,Intact Male,1,Pointer,Black,White,1,30.93611111111111
A783396,Molly,2018-10-30 11:54:00,8500 Highway 71 in Austin (TX),Stray,Normal,Intact Female,1,Pit Bull Mix,Brown,White,1,38.18472222222222
A783400,Quincey,2018-10-30 12:27:00,Kaelan Cove And Finklea Cove in Austin (TX),Stray,Normal,Intact Male,1,Rat Terrier Mix,Black,White,1,57.02152777777778
A783403,Polly,2018-10-30 13:05:00,2601 Cardinal Loop in Del Valle (TX),Stray,Normal,Intact Female,2,Chihuahua Longhair Mix,Tan,,1,45.140277777777776
A783405,*Akila,2018-10-30 13:15:00,Thompson Lane And South Us Highway 183 in Austin (TX),Stray,Normal,Intact Female,3,Labrador Retriever Mix,White,Tan,1,37.170833333333334
A783407,Lou,2018-10-30 12:57:00,Los Cielos in Del Valle (TX),Stray,Normal,Intact Female,2,Lhasa Apso Mix,Tricolor,Tan,1,31.18611111111111
A783410,*Ari,2018-10-30 13:15:00,Thompson Lane And South Us Highway 183 in Austin (TX),Stray,Normal,Intact Male,1,Doberman Pinsch Mix,Black,Tricolor,1,38.17986111111111
A783413,*Nugget,2018-10-30 13:54:00,Thompson Lane And South Us Highway 183 in Austin (TX),Stray,Normal,Intact Female,1,Catahoula Mix,Red,White,1,25.18888888888889
A783418,Delilah,2018-10-30 14:35:00,Bennington Lane And Weatherford in Austin (TX),Stray,Normal,Intact Female,1,Beagle Mix,Brown,White,1,38.080555555555556
A783419,*Amaya,2018-10-30 14:47:00,509 Thelma Drive in Austin (TX),Stray,Normal,Intact Female,5,German Shepherd Mix,Black,White,1,316.77569444444447
A783426,Napoleon,2018-10-30 16:20:00,Austin (TX),Owner Surrender,Normal,Intact Male,1,Rottweiler Mix,Black,Brown,1,52.1125
A783428,N/A,2018-10-30 16:24:00,5967 Hammermill Run in Austin (TX),Stray,Normal,Intact Male,1,Australian Cattle Dog Mix,White,Brown,1,30.036805555555556
A783431,Katie,2018-10-30 16:20:00,Austin (TX),Owner Surrender,Normal,Spayed Female,10,Labrador Retriever Mix,Black,Tan,1,192.04930555555555
A783432,Leo,2018-10-30 16:20:00,Austin (TX),Owner Surrender,Normal,Intact Male,2,Rottweiler Mix,Black,Brown,1,72.02638888888889
A783439,Lucy,2018-10-30 18:34:00,11400 Old Lockhart Road in Travis (TX),Stray,Normal,Intact Female,1,Labrador Retriever Mix,White,Tricolor,1,37.890277777777776
